TIME,CH2,Model,TBS2074B
-1.06E+00,-0.0012,,
-1.05E+00,-0.0004,,
-1.04E+00,0,,
-1.03E+00,-0.0008,,
-1.02E+00,0,,
-1.02E+00,-0.0012,,
-1.01E+00,-0.0004,,
-1.00E+00,0,,
-9.92E-01,0,,
-9.84E-01,-0.0012,,
-9.76E-01,-0.0004,,
-9.68E-01,0.0004,,
-9.60E-01,-0.0008,,
-9.52E-01,-0.0012,,
-9.44E-01,0.0008,,
-9.36E-01,-0.0004,,
-9.28E-01,-0.0008,,
-9.20E-01,0,,
-9.12E-01,0,,
-9.04E-01,-0.0012,,
-8.96E-01,0.0008,,
-8.88E-01,-0.0004,,
-8.80E-01,-0.0004,,
-8.72E-01,-0.0004,,
-8.64E-01,0.0004,,
-8.56E-01,0.0004,,
-8.48E-01,-0.0012,,
-8.40E-01,-0.0004,,
-8.32E-01,-0.0004,,
-8.24E-01,0,,
-8.16E-01,0,,
-8.08E-01,0.0004,,
-8.00E-01,0,,
-7.92E-01,0.0008,,
-7.84E-01,0.0004,,
-7.76E-01,-0.0004,,
-7.68E-01,-0.0008,,
-7.60E-01,-0.0004,,
-7.52E-01,-0.0004,,
-7.44E-01,-0.0012,,
-7.36E-01,-0.0008,,
-7.28E-01,-0.004,,
-7.20E-01,-0.0116,,
-7.12E-01,0.0008,,
-7.04E-01,0.0136,,
-6.96E-01,0.0056,,
-6.88E-01,-0.012,,
-6.80E-01,-0.002,,
-6.72E-01,0.0144,,
-6.64E-01,0.0132,,
-6.56E-01,-0.0016,,
-6.48E-01,-0.0112,,
-6.40E-01,-0.0108,,
-6.32E-01,-0.0048,,
-6.24E-01,0.004,,
-6.16E-01,0.006,,
-6.08E-01,0.004,,
-6.00E-01,-0.01,,
-5.92E-01,0.0048,,
-5.84E-01,0.002,,
-5.76E-01,-0.012,,
-5.68E-01,-0.0188,,
-5.60E-01,0.0152,,
-5.52E-01,-0.0108,,
-5.44E-01,-0.0036,,
-5.36E-01,0.012,,
-5.28E-01,-0.028,,
-5.20E-01,0.0144,,
-5.12E-01,-0.0116,,
-5.04E-01,0.0052,,
-4.96E-01,-0.0208,,
-4.88E-01,0.0024,,
-4.80E-01,0.0228,,
-4.72E-01,-0.018,,
-4.64E-01,0,,
-4.56E-01,-0.002,,
-4.48E-01,-0.0032,,
-4.40E-01,0,,
-4.32E-01,0.0008,,
-4.24E-01,0,,
-4.16E-01,0,,
-4.08E-01,-0.002,,
-4.00E-01,-0.0012,,
-3.92E-01,0.0004,,
-3.84E-01,-0.0028,,
-3.76E-01,0,,
-3.68E-01,-0.0012,,
-3.60E-01,-0.0004,,
-3.52E-01,0.0012,,
-3.44E-01,0.0004,,
-3.36E-01,0.0004,,
-3.28E-01,-0.0008,,
-3.20E-01,0.0004,,
-3.12E-01,-0.0012,,
-3.04E-01,-0.0004,,
-2.96E-01,-0.0008,,
-2.88E-01,0.0004,,
-2.80E-01,-0.0004,,
-2.72E-01,-0.0008,,
-2.64E-01,-0.0004,,
-2.56E-01,-0.0012,,
-2.48E-01,0,,
-2.40E-01,-0.0064,,
-2.32E-01,-0.0016,,
-2.24E-01,0.0056,,
-2.16E-01,-0.0024,,
-2.08E-01,0.0012,,
-2.00E-01,0.0104,,
-1.92E-01,-0.0188,,
-1.84E-01,0.0016,,
-1.76E-01,-0.012,,
-1.68E-01,0.0052,,
-1.60E-01,-0.0032,,
-1.52E-01,0.0012,,
-1.44E-01,-0.0012,,
-1.36E-01,-0.0016,,
-1.28E-01,-0.0008,,
-1.20E-01,0.0004,,
-1.12E-01,-0.0004,,
-1.04E-01,-0.0008,,
-9.60E-02,0.0004,,
-8.80E-02,-0.0004,,
-8.00E-02,-0.0004,,
-7.20E-02,0.0004,,
-6.40E-02,-0.0004,,
-5.60E-02,-0.0004,,
-4.80E-02,-0.0004,,
-4.00E-02,-0.0004,,
-3.20E-02,-0.0056,,
-2.40E-02,0.0116,,
-1.60E-02,0.0064,,
-8.00E-03,-0.004,,
7.05E-15,-0.008,,
8.00E-03,0.0032,,
1.60E-02,0.0108,,
2.40E-02,-0.0132,,
3.20E-02,0.018,,
4.00E-02,-0.006,,
4.80E-02,0.0048,,
5.60E-02,0.02,,
6.40E-02,-0.0116,,
7.20E-02,-0.0024,,
8.00E-02,-0.006,,
8.80E-02,-0.0004,,
9.60E-02,-0.0012,,
1.04E-01,0.0144,,
1.12E-01,-0.0016,,
1.20E-01,-0.0132,,
1.28E-01,0.0088,,
1.36E-01,-0.0024,,
1.44E-01,-0.012,,
1.52E-01,0.0132,,
1.60E-01,0.0076,,
1.68E-01,-0.016,,
1.76E-01,0.0052,,
1.84E-01,-0.0028,,
1.92E-01,-0.004,,
2.00E-01,0.0168,,
2.08E-01,-0.004,,
2.16E-01,-0.0108,,
2.24E-01,0.004,,
2.32E-01,0.0016,,
2.40E-01,-0.0024,,
2.48E-01,0.0004,,
2.56E-01,-0.0012,,
2.64E-01,-0.002,,
2.72E-01,0,,
2.80E-01,-0.0012,,
2.88E-01,0.0004,,
2.96E-01,0.0016,,
3.04E-01,-0.0012,,
3.12E-01,-0.0008,,
3.20E-01,-0.0012,,
3.28E-01,-0.0012,,
3.36E-01,0.0004,,
3.44E-01,-0.0004,,
3.52E-01,-0.0012,,
3.60E-01,0.0008,,
3.68E-01,-0.0008,,
3.76E-01,-0.0008,,
3.84E-01,0.0012,,
3.92E-01,-0.004,,
4.00E-01,0.0024,,
4.08E-01,-0.0032,,
4.16E-01,0.0056,,
4.24E-01,-0.0028,,
4.32E-01,-0.0136,,
4.40E-01,0.0132,,
4.48E-01,0.01,,
4.56E-01,-0.0164,,
4.64E-01,-0.006,,
4.72E-01,0.0112,,
4.80E-01,0.0052,,
4.88E-01,-0.0092,,
4.96E-01,-0.0072,,
5.04E-01,0.0016,,
5.12E-01,0.0004,,
5.20E-01,-0.0012,,
5.28E-01,-0.0024,,
5.36E-01,0.0024,,
5.44E-01,-0.0004,,
5.52E-01,-0.002,,
5.60E-01,0,,
5.68E-01,-0.0016,,
5.76E-01,-0.0032,,
5.84E-01,0,,
5.92E-01,-0.0016,,
6.00E-01,0,,
6.08E-01,0.0004,,
6.16E-01,0.0004,,
6.24E-01,0,,
6.32E-01,-0.0016,,
6.40E-01,0.0004,,
6.48E-01,-0.0004,,
6.56E-01,0.0008,,
6.64E-01,0,,
6.72E-01,0.0004,,
6.80E-01,-0.0004,,
6.88E-01,0,,
6.96E-01,0.0004,,
7.04E-01,0.002,,
7.12E-01,-0.0032,,
7.20E-01,-0.0036,,
7.28E-01,-0.0036,,
7.36E-01,-0.008,,
7.44E-01,-0.0008,,
7.52E-01,0.0004,,
7.60E-01,-0.0012,,
7.68E-01,0.0012,,
7.76E-01,0.0004,,
7.84E-01,-0.0008,,
7.92E-01,-0.0016,,
8.00E-01,-0.0008,,
8.08E-01,0.0004,,
8.16E-01,-0.0004,,
8.24E-01,0.0004,,
8.32E-01,0,,
8.40E-01,-0.0012,,
8.48E-01,-0.0004,,
8.56E-01,0.0004,,
8.64E-01,-0.0008,,
8.72E-01,-0.0004,,
8.80E-01,0,,
8.88E-01,0,,
8.96E-01,0.0004,,
9.04E-01,-0.0016,,
9.12E-01,0,,
9.20E-01,-0.0004,,
9.28E-01,-0.0004,,
9.36E-01,-0.0012,,
9.44E-01,-0.0008,,
9.52E-01,0.0004,,
9.60E-01,-0.0004,,
9.68E-01,-0.0004,,
9.76E-01,-0.0004,,
9.84E-01,0.0008,,
9.92E-01,-0.0004,,
1.00E+00,0.0004,,
1.01E+00,0.0004,,
1.02E+00,0.0016,,
1.02E+00,-0.0132,,
1.03E+00,0.0248,,
1.04E+00,-0.018,,
1.05E+00,0.0032,,
1.06E+00,-0.0012,,
1.06E+00,0.0024,,
1.07E+00,-0.0028,,
1.08E+00,-0.0016,,
1.09E+00,0.0028,,
1.10E+00,0.0024,,
1.10E+00,-0.0028,,
1.11E+00,0,,
1.12E+00,-0.0012,,
1.13E+00,0.0004,,
1.14E+00,-0.0004,,
1.14E+00,0,,
1.15E+00,0.0008,,
1.16E+00,-0.0012,,
1.17E+00,-0.0008,,
1.18E+00,-0.0012,,
1.18E+00,0.0008,,
1.19E+00,-0.0004,,
1.20E+00,0.0004,,
1.21E+00,0.0004,,
1.22E+00,-0.0008,,
1.22E+00,-0.0004,,
1.23E+00,0.0004,,
1.24E+00,0,,
1.25E+00,-0.0008,,
1.26E+00,-0.0004,,
1.26E+00,0,,
1.27E+00,-0.0004,,
1.28E+00,0.0004,,
1.29E+00,0,,
1.30E+00,0.0004,,
1.30E+00,-0.0004,,
1.31E+00,0,,
1.32E+00,0.0004,,
1.33E+00,-0.0004,,
1.34E+00,-0.0004,,
1.34E+00,0.0008,,
1.35E+00,-0.0012,,
1.36E+00,-0.0004,,
1.37E+00,0,,
1.38E+00,-0.0004,,
1.38E+00,-0.0004,,
1.39E+00,0,,
1.40E+00,0.0008,,
1.41E+00,-0.0004,,
1.42E+00,0.0176,,
1.42E+00,-0.0144,,
1.43E+00,-0.0032,,
1.44E+00,0.0108,,
1.45E+00,-0.0068,,
1.46E+00,-0.0128,,
1.46E+00,0.0068,,
1.47E+00,0.0176,,
1.48E+00,0.006,,
1.49E+00,-0.0084,,
1.50E+00,-0.0144,,
1.50E+00,-0.0108,,
1.51E+00,-0.0068,,
1.52E+00,-0.0028,,
1.53E+00,0.0008,,
1.54E+00,-0.0008,,
1.54E+00,-0.0008,,
1.55E+00,0.0004,,
1.56E+00,0.0008,,
1.57E+00,0,,
1.58E+00,-0.0016,,
1.58E+00,-0.0012,,
1.59E+00,-0.0008,,
1.60E+00,0,,
1.61E+00,0.0012,,
1.62E+00,0.0016,,
1.62E+00,0.0012,,
1.63E+00,-0.0004,,
1.64E+00,-0.0004,,
1.65E+00,-0.0008,,
1.66E+00,-0.0012,,
1.66E+00,-0.0004,,
1.67E+00,-0.0012,,
1.68E+00,0.0168,,
1.69E+00,-0.0148,,
1.70E+00,0.0024,,
1.70E+00,0.0028,,
1.71E+00,-0.0024,,
1.72E+00,-0.0004,,
1.73E+00,0.0044,,
1.74E+00,-0.0012,,
1.74E+00,0.0004,,
1.75E+00,0.0048,,
1.76E+00,-0.0076,,
1.77E+00,-0.0004,,
1.78E+00,-0.0036,,
1.78E+00,-0.0064,,
1.79E+00,0.0004,,
1.80E+00,0,,
1.81E+00,0.0004,,
1.82E+00,-0.0008,,
1.82E+00,-0.0012,,
1.83E+00,0.0004,,
1.84E+00,-0.0004,,
1.85E+00,-0.0004,,
1.86E+00,-0.0012,,
1.86E+00,0.0004,,
1.87E+00,-0.0004,,
1.88E+00,-0.0004,,
1.89E+00,-0.0012,,
1.90E+00,0,,
1.90E+00,0.0004,,
1.91E+00,0,,
1.92E+00,0,,
1.93E+00,-0.0012,,
1.94E+00,0.0004,,
1.94E+00,-0.0008,,
1.95E+00,-0.0004,,
1.96E+00,0.0004,,
1.97E+00,0,,
1.98E+00,-0.0008,,
1.98E+00,-0.0004,,
1.99E+00,0,,
2.00E+00,0.0008,,
2.01E+00,0.0004,,
2.02E+00,-0.0004,,
2.02E+00,-0.0012,,
2.03E+00,0.0008,,
2.04E+00,0,,
2.05E+00,0,,
2.06E+00,-0.0008,,
2.06E+00,-0.0004,,
2.07E+00,-0.0008,,
2.08E+00,-0.0012,,
2.09E+00,0.0004,,
2.10E+00,-0.0012,,
2.10E+00,-0.0004,,
2.11E+00,0,,
2.12E+00,0,,
2.13E+00,0.0008,,
2.14E+00,0.0004,,
2.14E+00,0,,
2.15E+00,0.0004,,
2.16E+00,0,,
2.17E+00,0,,
2.18E+00,0,,
2.18E+00,-0.0004,,
2.19E+00,0.0004,,
2.20E+00,-0.0012,,
2.21E+00,0.0004,,
2.22E+00,0,,
2.22E+00,-0.0008,,
2.23E+00,0,,
2.24E+00,-0.0008,,
2.25E+00,-0.0008,,
2.26E+00,0.0004,,
2.26E+00,-0.0004,,
2.27E+00,-0.0008,,
2.28E+00,-0.0008,,
2.29E+00,-0.0008,,
2.30E+00,0,,
2.30E+00,-0.0004,,
2.31E+00,0.0008,,
2.32E+00,0,,
2.33E+00,-0.0008,,
2.34E+00,-0.0008,,
2.34E+00,0,,
2.35E+00,0,,
2.36E+00,0,,
2.37E+00,-0.0004,,
2.38E+00,-0.0004,,
2.38E+00,-0.0008,,
2.39E+00,0.0016,,
2.40E+00,-0.0004,,
2.41E+00,0,,
2.42E+00,-0.0004,,
2.42E+00,-0.0008,,
2.43E+00,0,,
2.44E+00,0,,
2.45E+00,-0.0008,,
2.46E+00,0,,
2.46E+00,-0.0004,,
2.47E+00,-0.0012,,
2.48E+00,-0.0008,,
2.49E+00,-0.0004,,
2.50E+00,-0.0008,,
2.50E+00,-0.0004,,
2.51E+00,-0.0008,,
2.52E+00,0,,
2.53E+00,-0.0004,,
2.54E+00,-0.0004,,
2.54E+00,-0.0004,,
2.55E+00,-0.0004,,
2.56E+00,0,,
2.57E+00,-0.0004,,
2.58E+00,-0.0012,,
2.58E+00,0,,
2.59E+00,-0.0008,,
2.60E+00,-0.0008,,
2.61E+00,0.0004,,
2.62E+00,-0.0004,,
2.62E+00,-0.002,,
2.63E+00,-0.0004,,
2.64E+00,0,,
2.65E+00,0,,
2.66E+00,-0.0008,,
2.66E+00,-0.0004,,
2.67E+00,-0.0004,,
2.68E+00,-0.0004,,
2.69E+00,0.0004,,
2.70E+00,-0.0008,,
2.70E+00,-0.0004,,
2.71E+00,0.0004,,
2.72E+00,-0.0008,,
2.73E+00,0.0004,,
2.74E+00,-0.0008,,
2.74E+00,0.0004,,
2.75E+00,-0.0008,,
2.76E+00,0,,
2.77E+00,-0.0008,,
2.78E+00,0.0004,,
2.78E+00,0.0004,,
2.79E+00,0.0004,,
2.80E+00,-0.0008,,
2.81E+00,-0.0004,,
2.82E+00,-0.0004,,
2.82E+00,-0.0004,,
2.83E+00,-0.0004,,
2.84E+00,-0.0004,,
2.85E+00,-0.0004,,
2.86E+00,-0.0004,,
2.86E+00,-0.0012,,
2.87E+00,0,,
2.88E+00,0,,
2.89E+00,-0.0004,,
2.90E+00,-0.0004,,
2.90E+00,-0.0008,,
2.91E+00,0,,
2.92E+00,0.0004,,
2.93E+00,-0.0016,,
2.94E+00,-0.0004,,
2.94E+00,0.0004,,
2.95E+00,0.0008,,
2.96E+00,0.0104,,
2.97E+00,0.0052,,
2.98E+00,-0.0068,,
2.98E+00,-0.0132,,
2.99E+00,-0.0104,,
3.00E+00,-0.0036,,
3.01E+00,-0.0076,,
3.02E+00,-0.0048,,
3.02E+00,-0.0036,,
3.03E+00,-0.0028,,
3.04E+00,-0.0024,,
3.05E+00,-0.0024,,
3.06E+00,-0.0004,,
3.06E+00,-0.0028,,
3.07E+00,0.0004,,
3.08E+00,-0.0012,,
3.09E+00,-0.0012,,
3.10E+00,-0.0016,,
3.10E+00,0.0096,,
3.11E+00,-0.0188,,
3.12E+00,0.0164,,
3.13E+00,-0.002,,
3.14E+00,0.0128,,
3.14E+00,-0.0176,,
3.15E+00,0.0068,,
3.16E+00,0.0012,,
3.17E+00,0.02,,
3.18E+00,0.0076,,
3.18E+00,0.0148,,
3.19E+00,0.0192,,
3.20E+00,0.0208,,
3.21E+00,-0.0172,,
3.22E+00,0.002,,
3.22E+00,0.0024,,
3.23E+00,-0.0176,,
3.24E+00,0.0028,,
3.25E+00,0.0116,,
3.26E+00,-0.0164,,
3.26E+00,0.0036,,
3.27E+00,-0.0048,,
3.28E+00,-0.0004,,
3.29E+00,0,,
3.30E+00,0.0004,,
3.30E+00,0.0008,,
3.31E+00,-0.0012,,
3.32E+00,-0.0008,,
3.33E+00,-0.0012,,
3.34E+00,-0.0016,,
3.34E+00,-0.0012,,
3.35E+00,0.0008,,
3.36E+00,-0.0008,,
3.37E+00,0.0008,,
3.38E+00,-0.0008,,
3.38E+00,-0.0024,,
3.39E+00,-0.0008,,
